"coord_sys_code","coord_sys_name","coord_sys_type","dimension"
1027,"Cartesian 2D CS for UPS south. Axes: E,N. Orientations: E along 90°E, N along 0°E meridians. UoM: m.","Cartesian",2
4468,"Cartesian 2D CS for north polar azimuthal lonO 45°W. Axes: X,Y. Orientations: X along 45°E, Y along 135°E meridians. UoM: m.","Cartesian",2
1029,"Cartesian 2D CS. Axes: northing, easting (N,E). Orientations: north, east. UoM: ft.","Cartesian",2
4469,"Cartesian 2D CS for north polar azimuthal lonO 0°E. Axes: X,Y. Orientations: X along 90°E, Y along 180°E meridians. UoM: m.","Cartesian",2
4530,"Cartesian 2D CS. Axes: northing, easting (X,Y). Orientations: north, east. UoM: m.","Cartesian",2
4494,"Cartesian 2D CS for UPS south. Axes: N,E. Orientations: N along 0°E, E along 90°E meridians. UoM: m.","Cartesian",2
4475,"Cartesian 2D CS for south polar azimuthal lonO 90°W. Axes: E,N. Orientations: E along 0°E, N along 90°W meridians. UoM: m.","Cartesian",2
4467,"Cartesian 2D CS for north polar azimuthal lonO 150°W. Axes: X,Y. Orientations: X along 60°W, Y along 30°E meridians. UoM: m.","Cartesian",2
4498,"Cartesian 2D CS. Axes: easting, northing (Y,X). Orientations: east, north. UoM: m.","Cartesian",2
6499,"Vertical CS. Axis: height (H). Orientation: up. UoM: m.","vertical",1
4534,"Cartesian 2D CS. Axes: northing, easting (no abbrev). Orientations: north, east. UoM: m.","Cartesian",2
6497,"Vertical CS. Axis: height (H). Orientation: up. UoM: ftUS.","vertical",1
4491,"Cartesian 2D CS. Axes: westing, northing (W,N). Orientations: west, north. UoM: m.","Cartesian",2
1035,"Cartesian 2D CS for north polar azimuthal lonO 90°E. Axes: X,Y. Orientations: X along 180°E, Y along 90°W meridians. UoM: m.","Cartesian",2
4463,"Cartesian 2D CS for north polar azimuthal lonO 10°E. Axes: X,Y. Orientations: X along 100°E, Y along 170°W meridians. UoM: m.","Cartesian",2
4402,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: chSe.","Cartesian",2
4400,"Cartesian 2D CS. Axes: easting, northing (E,N). Orientations: east, north. UoM: m.","Cartesian",2
1026,"Cartesian 2D CS for UPS north. Axes: E,N. Orientations: E along 90°E meridian, N along 180°E meridian. UoM: m.","Cartesian",2
6424,"Ellipsoidal 2D CS. Axes: longitude, latitude. Orientations: east, north. UoM: degree","ellipsoidal",2
4490,"Cartesian 2D CS for south polar azimuthal lonO 0°E. Axes: E,N. Orientations: E along 90°E, N along 0°E meridians. UoM: m.","Cartesian",2
